word,meaning
hello,used as a greeting or to begin a telephone conversation
hello,an utterance of \u2018hello\u2019; a greeting
hello,say or shout \u2018hello\u2019
up,towards a higher place or position
up,"at or to a higher level of intensity, volume, or activity"
up,to the place where someone is
up,towards or in the capital or a major city
up,into the desired or a proper condition
up,into a happy mood
up,out of bed
up,displayed on a noticeboard or other publicly visible site
up,(of sailing) against the current or the wind
up,at bat
up,from a lower to a higher point of (something)
up,along or further along (a street or road)
up,at or to (a place)
up,directed or moving towards a higher place or position
up,at an end
up,(of a road) being repaired.
up,(of a computer system) functioning properly
up,in a cheerful mood; ebullient
up,(of a jockey) in the saddle.
up,denoting a flavour of quark having a charge of +2/3. Protons and neutrons are thought to be composed of combinations of up and down quarks.
up,a period of good fortune
up,do something unexpectedly
up,increase (a level or amount)
up,lift (something) up
up,Upper Peninsula (of the state of Michigan)
up,Uttar Pradesh.
ace,"a playing card with a single spot on it, ranked as the highest card in its suit in most card games"
ace,a person who excels at a particular sport or other activity
ace,(in tennis and similar games) a service that an opponent is unable to return and thus wins a point
ace,very good
ace,(in tennis and similar games) serve an ace against (an opponent)
ace,achieve high marks in (a test or exam)
